x,y,z,qx,qy,qz,qw
-0.0068560587,-0.0028294325,-0.00965485,-0.00731845,-0.0025323539,0.005817549,0.9999531
-0.006862427,-0.002809167,-0.009740084,-0.007167358,-0.0025450904,0.005857384,0.9999539
-0.0068688123,-0.0027678013,-0.009830385,-0.0073502087,-0.0024965762,0.0059429873,0.9999522
-0.0068771653,-0.0027450323,-0.009910971,-0.0075537413,-0.0024828855,0.0061811055,0.9999493
-0.006885806,-0.0027115345,-0.01000461,-0.007477887,-0.0024626884,0.0061236857,0.99995023
-0.0068927296,-0.0026791096,-0.0101009905,-0.007622687,-0.0023699398,0.0060451287,0.9999499
-0.006897403,-0.0026402473,-0.010192275,-0.008022447,-0.002348853,0.0064845867,0.99994403
-0.0069013247,-0.0026022196,-0.010286689,-0.00820277,-0.0022417407,0.0066503966,0.9999417
-0.006902961,-0.0025687218,-0.010381222,-0.00849831,-0.0022479366,0.0067842137,0.9999383
-0.006901729,-0.0025274754,-0.010481983,-0.008653357,-0.002340067,0.006807911,0.99993664
-0.006906013,-0.002494812,-0.0105831325,-0.008697855,-0.002348511,0.006730247,0.99993676
-0.0069117146,-0.0024511814,-0.0106803775,-0.00874438,-0.0023725203,0.0071154633,0.9999336
-0.0069175335,-0.0024095774,-0.01078406,-0.0088855475,-0.0023421615,0.0072240876,0.9999317
-0.006927452,-0.0023528337,-0.010888666,-0.008732403,-0.0022855725,0.0070007867,0.99993473
-0.006932837,-0.002298832,-0.010993242,-0.008787421,-0.0022162155,0.007209305,0.99993294
-0.0069323964,-0.0022485256,-0.011093259,-0.009151436,-0.0021711078,0.0077740513,0.99992555
-0.006934029,-0.0021867752,-0.011186719,-0.009079667,-0.0021483577,0.007692957,0.99992687
-0.006935628,-0.0021396875,-0.011289179,-0.008840263,-0.0021823705,0.0074731847,0.9999306
-0.0069435257,-0.0020823479,-0.011385083,-0.008413305,-0.002265905,0.0072142044,0.999936
-0.006941812,-0.0020346642,-0.011490315,-0.008018211,-0.0024099592,0.007196076,0.999939
-0.006950643,-0.001969099,-0.011582196,-0.0077105737,-0.0024344383,0.0071473117,0.99994177
-0.006951427,-0.0019136667,-0.011671245,-0.007499395,-0.0023791355,0.006786519,0.999946
-0.006949799,-0.0018533468,-0.011769146,-0.0072328043,-0.0025248553,0.0069742375,0.9999463
-0.006952271,-0.0018004179,-0.011860341,-0.00673264,-0.002531405,0.006681659,0.9999518
-0.0069563594,-0.0017457008,-0.011951119,-0.0065398547,-0.00251404,0.006476387,0.99995446
-0.0069507463,-0.0017037392,-0.012043595,-0.0064275046,-0.0026057393,0.006224987,0.99995655
-0.0069435267,-0.0016406775,-0.012135357,-0.00643661,-0.0027779175,0.0063400944,0.9999553
-0.006950846,-0.0016037226,-0.012218446,-0.006412585,-0.0028049839,0.0061864057,0.99995637
-0.0069455663,-0.0015522242,-0.012305319,-0.006508848,-0.002723827,0.0063769124,0.99995476
-0.0069407616,-0.0015075207,-0.01240328,-0.0065702903,-0.002820195,0.0065195877,0.99995315
-0.0069386326,-0.0014523268,-0.012487978,-0.0067893495,-0.0028203805,0.0067366245,0.9999503
-0.0069295587,-0.0014157295,-0.012567341,-0.006936599,-0.0028841647,0.006659201,0.99994963
-0.0069247,-0.0013798475,-0.012659937,-0.0070366734,-0.002922525,0.0066688587,0.99994874
-0.0069225496,-0.0013428926,-0.012751222,-0.0069580134,-0.0030345963,0.0063662883,0.9999509
-0.006912928,-0.0013118982,-0.012838632,-0.0070891078,-0.003019757,0.006272542,0.99995065
-0.0069063064,-0.0012738705,-0.012923747,-0.0071525155,-0.0031018693,0.006571556,0.999948
-0.0068971915,-0.0012298822,-0.013014972,-0.007348697,-0.003096228,0.0068219625,0.9999449
-0.006884002,-0.001188755,-0.013105124,-0.007536279,-0.0030242128,0.006929644,0.999943
-0.006873194,-0.0011546612,-0.013197571,-0.007725911,-0.0030744087,0.0068174456,0.9999422
-0.0068673827,-0.0011236668,-0.013286799,-0.007847792,-0.003126827,0.006842451,0.9999409
-0.006850683,-0.0010716915,-0.013388425,-0.008249692,-0.0030753254,0.007269607,0.9999348
-0.0068384083,-0.0010408163,-0.013480872,-0.008572561,-0.003095846,0.007266652,0.99993205
-0.006836325,-0.0010231733,-0.013571471,-0.008449224,-0.003131189,0.007124276,0.999934
-0.006824284,-0.000985384,-0.013658792,-0.008519525,-0.0032851528,0.0074837706,0.9999303
-0.006812838,-0.0009639263,-0.013743639,-0.008795789,-0.0032046419,0.007626049,0.9999271
-0.006793813,-0.0009100437,-0.013841689,-0.0089628445,-0.0030850114,0.007963919,0.99992335
-0.00678711,-0.000869751,-0.013938785,-0.009146047,-0.0030863273,0.008152118,0.9999202
-0.006772194,-0.0008404255,-0.014036745,-0.009249137,-0.0031010753,0.008451872,0.9999167
-0.00675024,-0.0008019209,-0.014130324,-0.009404102,-0.0031858012,0.008624624,0.9999135
-0.006730655,-0.00076282024,-0.014231265,-0.009395502,-0.0033203682,0.008881839,0.9999109
-0.006713965,-0.0007330179,-0.014328897,-0.009545635,-0.003335774,0.009044637,0.999908
-0.006683683,-0.00069606304,-0.014427692,-0.009742224,-0.003389338,0.009630882,0.99990046
-0.0066643823,-0.0006775856,-0.01452297,-0.009744813,-0.0035493802,0.009783643,0.9998984
-0.006634997,-0.0006377697,-0.0146164,-0.009864992,-0.0035724123,0.009941293,0.9998955
