#x,y,z,qx,qy,qz,qw
-0.0046211146,-0.002031684,0.0104523,-0.0034546736,0.0018264777,0.0017545826,0.9999908
-0.0046208724,-0.002038598,0.010441631,-0.0036300807,0.0018331324,0.0020108307,0.9999897
-0.004621312,-0.0020599365,0.010424703,-0.0035320807,0.0018688644,0.0016151638,0.9999907
-0.0046244077,-0.002068162,0.010417223,-0.0037161184,0.0018970588,0.001828668,0.9999896
-0.004623696,-0.0020848513,0.010401607,-0.0035491593,0.0018095352,0.0015694597,0.9999908
-0.004625939,-0.002092719,0.010389417,-0.0038505176,0.0018221615,0.0017764044,0.99998933
-0.0046304464,-0.002093792,0.010378212,-0.003757649,0.0017954378,0.001925456,0.99998945
-0.004635416,-0.0021089315,0.010370672,-0.003739976,0.0018987517,0.001677047,0.99998975
-0.0046379417,-0.0021100044,0.010351926,-0.0038761303,0.001816567,0.0017479701,0.9999893
-0.004633732,-0.002110362,0.010350585,-0.003937937,0.0018777201,0.0016724828,0.99998903
-0.004638128,-0.002120614,0.010326505,-0.0042296923,0.001857344,0.0018184157,0.99998766
-0.0046431683,-0.0021344423,0.010314792,-0.0042246436,0.001855574,0.0015294236,0.9999882
-0.004648391,-0.0021412373,0.010304123,-0.0042194193,0.001930907,0.0013294147,0.9999883
-0.0046479814,-0.0021523237,0.01028645,-0.0042055687,0.0018739279,0.0014592106,0.9999883
-0.0046566837,-0.0021589994,0.010279477,-0.0042314176,0.0018699437,0.0013659141,0.9999884
-0.0046622828,-0.002152443,0.010265589,-0.0044212607,0.0018094081,0.0015310037,0.9999874
-0.00467176,-0.002156973,0.0102600455,-0.0045008897,0.0018304534,0.0013753936,0.99998724
-0.004686605,-0.0021543503,0.010255516,-0.004558868,0.001808686,0.0014411332,0.9999869
-0.004700225,-0.0021508932,0.010248005,-0.00436635,0.0018486518,0.0013979847,0.9999878
-0.00470642,-0.0021537542,0.010243118,-0.0043877866,0.0017762796,0.0014731142,0.9999877
-0.0047180504,-0.002154231,0.010236621,-0.0044497615,0.0017851728,0.0016003397,0.9999872
-0.0047240667,-0.0021537542,0.01023525,-0.004437986,0.0017956541,0.0016519238,0.9999872
-0.0047319755,-0.0021601915,0.010226041,-0.0042949324,0.0017532731,0.0015735681,0.999988
-0.004744943,-0.0021557808,0.010227203,-0.004247296,0.0017489243,0.001805636,0.99998784
-0.004750263,-0.002154708,0.010225356,-0.0042076968,0.0017508961,0.001837092,0.9999879
-0.0047535896,-0.0021642447,0.010219365,-0.0042497898,0.0017632721,0.0019104556,0.9999876
-0.004759118,-0.002170086,0.01021564,-0.0041693966,0.0017291142,0.0019740374,0.99998784
-0.0047637634,-0.0021716356,0.0102190375,-0.004128907,0.0018145434,0.0018288743,0.99998814
-0.004766997,-0.0021698475,0.010213017,-0.0043590944,0.00177912,0.001963925,0.999987
-0.004769467,-0.0021750927,0.010204196,-0.004344178,0.0017523232,0.0018957541,0.99998724
-0.0047611482,-0.0021833181,0.010201186,-0.0042018443,0.001734677,0.0017444213,0.99998814
-0.004764762,-0.0021935701,0.010189474,-0.0043255864,0.001716632,0.0018804702,0.99998736
-0.004761342,-0.002191782,0.010184228,-0.0043608556,0.0017988082,0.0020006178,0.9999868
-0.00476392,-0.0022130013,0.010176003,-0.004198675,0.0017738093,0.0017234946,0.99998814
-0.0047624037,-0.002218604,0.010171294,-0.004207513,0.0018023365,0.0018010745,0.9999879
-0.0047590174,-0.0022206306,0.010166824,-0.004278042,0.001791736,0.001711413,0.9999878
-0.0047556125,-0.0022408962,0.010168761,-0.0043812734,0.0017911246,0.0015423447,0.9999876
-0.0047581606,-0.0022542477,0.010149479,-0.004508737,0.0017856163,0.0016068496,0.99998695
-0.0047553703,-0.0022575855,0.010140955,-0.0046319766,0.0017441245,0.0016927703,0.9999863
-0.004747711,-0.0022697449,0.010134786,-0.0047765775,0.0017543606,0.001829669,0.9999854
-0.004754305,-0.0023046732,0.010131031,-0.004862615,0.0017532138,0.0017389266,0.99998516
-0.004742045,-0.0023126602,0.010133415,-0.0047390503,0.0017096914,0.0015922998,0.99998605
